date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:26	507235/507235	---M--	200	added ('OK')	image/jpeg	etag:%2255d762f5-7bd63%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/1.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/1.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:39:28	31030/31030	---MCZ	200	added ('OK')	text/html	etag:W/%223950467-7936-51eabc05b40c0%22	http://html.templines.com/sokolcov/garden-master/shop-2.html	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/shop-2.html	(from http://html.templines.com/sokolcov/garden-master/.)
20:39:44	193727/193727	---M--	200	added ('OK')	image/jpeg	etag:%2255d762f9-2f4bf%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/6.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/6.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:39:46	263350/263350	---M--	200	added ('OK')	image/jpeg	etag:%2255d762f8-404b6%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/5.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/5.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:39:49	21049/21049	---MCZ	200	added ('OK')	text/html	etag:W/%22395045f-5239-53c9409fa24c3%22	http://html.templines.com/sokolcov/garden-master/contact-2.html	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/contact-2.html	(from http://html.templines.com/sokolcov/garden-master/.)
20:39:59	195757/195757	---M--	200	added ('OK')	image/jpeg	etag:%2255d762fa-2fcad%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/7.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/7.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:40:03	392667/392667	---M--	200	added ('OK')	image/jpeg	etag:%2255d762f8-5fddb%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/4.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/4.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:40:05	19140/19140	---MCZ	200	added ('OK')	text/html	etag:W/%223950460-4ac4-51eabc05b40c0%22	http://html.templines.com/sokolcov/garden-master/doc.html	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/doc.html	(from http://html.templines.com/sokolcov/garden-master/.)
20:40:06	2719/2719	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255d762cd-a9f%22	http://html.templines.com/sokolcov/garden-master/js/jquery.placeholder.min.js	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/js/jquery.placeholder.min.js	(from http://html.templines.com/sokolcov/garden-master/.)
20:40:06	1647/1647	---M--	200	added ('OK')	image/png	etag:%2255d762d9-66f%22	http://html.templines.com/sokolcov/garden-master/media/34x34/watering-can.png	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/34x34/watering-can.png	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
